WordID,SentenceNr,WordNr,Target,Surprisal,Entropy
1130,22,15,safe,16.831028479636853,3.0970879
1131,22,16,did,10.827678863415798,7.3825254
1132,22,17,the,4.542979277489079,6.5222964
1133,22,18,boys,7.562690112114941,10.609072
1134,22,19,feel,6.333371813097184,8.291045
1135,22,20,in,7.214059394954263,8.265852
1136,22,21,their,2.038248017648026,5.88688
1137,22,22,hiding-place,12.07366047605914,8.500929
1138,22,23,that,5.207138230936888,7.8735914
1139,22,24,they,1.0401400593752723,4.717496
1140,22,25,were,2.820904586498039,6.4982014
1141,22,26,gaily,11.463400488267771,8.904019
1142,22,27,chattering,11.758792903835118,10.372715
1143,22,28,The,9.204575719599598,6.332805
1144,22,29,pirates,14.804912450865462,10.02558
1145,22,30,listened,10.960124607268353,7.9731016
1146,22,31,grimly,12.864105223040298,6.514726
1147,22,32,and,2.629161497460009,5.915114
1148,22,33,then,5.757634432029304,9.318813
1149,22,34,replaced,14.068361732155305,8.993971
1150,22,35,the,1.9097463759205273,4.372708
1151,22,36,mushroom,15.019197894365595,10.45059
1152,22,37,They,13.500335221065166,7.219546
1153,22,38,looked,5.114785310844311,8.582968
1154,22,39,around,5.336157780429046,6.8926196
1155,22,40,them,6.0751989109916105,6.4480095
1156,22,41,and,2.125994997190388,6.704348
1157,22,42,noted,10.526293878840054,7.1764774
1158,22,43,the,2.434020775768036,6.138452
1159,22,44,holes,10.34571175462626,11.176526
1160,22,45,in,1.3869560778921737,5.237458
1161,22,46,the,0.5294181994961409,2.0923991
1162,22,47,seven,15.292359034810772,8.485551
1163,22,48,trees,5.754353293979721,9.667981
1164,23,2,a,5.180776128281892,10.399696
1165,23,3,nucleus,15.78926059158592,11.026481
1166,23,4,has,5.555534434571704,7.4689355
1167,23,5,all,9.314153943430771,6.193787
1168,23,6,of,2.0968235948849108,4.1588945
1169,23,7,its,0.7009784468788304,2.0080314
1170,23,8,proton,10.573840582517624,8.23543
1171,23,9,shells,11.67681697771854,6.865696
1172,23,10,or,8.97729355318938,7.213597
1173,23,11,neutron,8.905457703040577,8.560848
1174,23,12,shells,6.803781810354322,6.8492455
1175,23,13,loaded,10.261661846283642,5.4583044
1176,23,14,to,5.839362540848712,3.727801
1177,23,15,full,8.85951749987848,7.549948
1178,23,16,capacity,2.0116851747929414,6.0329165
1179,23,17,the,6.1163195046384615,3.1789136
1180,23,18,layers,12.01447662495987,9.8067465
1181,23,19,can,5.300266694918683,5.996035
1182,23,20,align,14.286815727071085,7.206661
1183,23,21,so,7.07170934809646,5.995924
1184,23,22,well,7.530562375789447,2.8612478
1185,23,23,that,0.6544174356574189,2.9202013
1186,23,24,each,6.436903484352325,5.285052
1187,23,25,shell,6.14753392596346,6.4797053
1188,23,26,can,2.6800830266814333,6.654668
1189,23,27,spoon,18.53413508559991,7.363344
1190,23,28,intimately,21.394827972880467,4.6391845
1191,23,29,with,3.778318631864082,3.0453458
1192,23,30,its,2.773086024416483,3.9683905
1193,23,31,attractive,15.630001636039392,7.679708
1194,23,32,neighbors,7.400358270495327,8.574092
1195,23,33,forming,11.259037258402827,3.6362448
1196,23,34,a,1.3926593002995862,6.140183
1197,23,35,more,7.057787455085972,9.841287
1198,23,36,compact,4.479631659861868,8.315568
1199,23,37,sphere,7.6507745281257025,7.705258
1200,23,38,that,4.759828097530583,4.4084415
1201,23,39,fits,7.749314422874644,7.3891606
1202,23,40,well,6.362297770557842,5.963811
1203,23,41,within,3.445285042981178,4.4150715
1204,23,42,the,0.589236057582539,2.765984
1205,23,43,strong,10.910779393785669,9.783053
1206,23,44,nuclear,7.384971103681811,8.764973
1207,23,45,force's,4.147146404161591,7.576296
1208,23,46,area,8.816619796505684,9.878277
1209,23,47,of,1.0376786731569148,2.4608343
1210,23,48,influence,3.290000578594278,7.8615885
1211,24,2,vehicles,11.565040076839882,11.844861
1212,24,3,have,4.459053499841162,6.69525
1213,24,4,a,4.278686427618066,7.3408184
1214,24,5,halo,12.48144084487602,9.136059
1215,24,6,that,4.959190905817639,4.3984947
1216,24,7,makes,4.991702697168027,7.8227296
1217,24,8,owners,15.300480391340802,3.3094528
1218,24,9,feel,2.944368862034194,6.5182667
1219,24,10,righteous,15.468670064546698,6.0801463
1220,24,11,and,2.4068479281848743,4.4515376
1221,24,12,their,7.337891896349475,9.540535
1222,24,13,neighbors,7.582137701245362,8.420982
